order_id,customer_id,order_date,order_status,payment_method,subtotal,discount_amount,shipping_fee,tax_amount,total_order_value,delivery_city,delivery_state,coupon_code,is_failed_order,is_returned,revenue_leakage_flag,refund_amount,revenue_loss_amount,net_revenue
27,4028,2024-12-25,Delivered,Credit Card,4351.1,636.86,0.0,668.56,4382.8,Kolkata,West Bengal,BIGBASH,No,No,No,427,0.0,3955.8
28,4028,2025-01-14,Delivered,UPI,2125.0,102.0,0.0,364.14,2387.14,Kolkata,West Bengal,SAVE10,No,No,No,186,0.0,2201.14
29,3755,2025-08-02,Delivered,Debit Card,2902.91,233.95,0.0,480.41,3149.37,Kolkata,West Bengal,BIGBASH,No,No,No,41,0.0,3108.37
30,8109,2025-07-30,Delivered,UPI,42590.12,1724.41,0.0,7355.83,48221.54,Bengaluru,Karnataka,PAYTM50,No,No,No,141,0.0,48080.54
31,8109,2025-08-31,Delivered,COD,767.48,48.86,50.0,129.35,897.97,Bengaluru,Karnataka,FESTIVE20,No,No,No,65,0.0,832.97
32,4946,2024-10-20,Delivered,Credit Card,10584.8,1332.83,0.0,1665.35,10917.32,Delhi,Delhi,FESTIVE20,No,No,No,410,0.0,10507.32
33,2277,2025-07-11,Delivered,COD,82283.28,6831.88,0.0,13581.25,89032.65,Bengaluru,Karnataka,FESTIVE20,No,No,No,327,0.0,88705.65
34,2168,2026-05-29,Delivered,Credit Card,2624.86,95.33,0.0,455.32,2984.85,Hyderabad,Telangana,BIGBASH,No,No,No,101,0.0,2883.85
35,2168,2026-07-03,Returned,Debit Card,28111.89,0.0,0.0,5060.14,33172.03,Hyderabad,Telangana,No Coupon,No,Yes,Yes,83,83.0,33089.03
36,8208,2025-04-02,Delivered,UPI,2783.2,0.0,0.0,500.98,3284.18,Lucknow,Uttar Pradesh,No Coupon,No,No,No,397,0.0,2887.18
37,9854,2024-10-20,Failed,UPI,64361.62,3626.75,0.0,10932.28,71667.15,Mumbai,Maharashtra,FESTIVE20,Yes,No,Yes,140,71667.15,71527.15
38,7537,2024-12-23,Delivered,UPI,1294.09,111.87,0.0,212.8,1395.02,Kochi,Kerala,WELCOME100,No,No,No,165,0.0,1230.02
39,3479,2025-02-13,Delivered,UPI,13300.7,596.52,0.0,2286.75,14990.93,Kolkata,West Bengal,PAYTM50,No,No,No,441,0.0,14549.93
40,3479,2025-02-28,Cancelled,Credit Card,5249.11,123.43,0.0,922.62,6048.3,Kolkata,West Bengal,PAYTM50,No,No,No,296,0.0,5752.3
41,1981,2024-09-04,Delivered,Debit Card,219749.15,14776.12,0.0,36895.15,241868.18,Hyderabad,Telangana,PAYTM50,No,No,No,283,0.0,241585.18
42,1981,2024-09-19,Delivered,Credit Card,9087.52,0.0,0.0,1635.75,10723.27,Hyderabad,Telangana,No Coupon,No,No,No,465,0.0,10258.27
43,5279,2026-06-03,Cancelled,Debit Card,369.78,0.0,50.0,66.56,486.34,Hyderabad,Telangana,No Coupon,No,No,No,154,0.0,332.34
44,3054,2024-10-26,Delivered,COD,375.9,13.32,50.0,65.26,477.84,Delhi,Delhi,WELCOME100,No,No,No,351,0.0,126.83999999999996
45,3634,2025-05-31,Delivered,Debit Card,2765.55,166.27,0.0,467.87,3067.15,Jaipur,Rajasthan,SAVE10,No,No,No,477,0.0,2590.15
46,2158,2024-09-01,Delivered,Debit Card,987.57,93.09,50.0,161.01,1105.49,Indore,Madhya Pradesh,WELCOME100,No,No,No,20,0.0,1085.49
47,2158,2024-10-05,Delivered,UPI,753.76,44.81,50.0,127.61,886.56,Indore,Madhya Pradesh,FESTIVE20,No,No,No,29,0.0,857.56
48,10167,2025-12-30,Delivered,Debit Card,37492.11,0.0,0.0,6748.58,44240.69,Chennai,Tamil Nadu,No Coupon,No,No,No,317,0.0,43923.69
49,3529,2025-10-28,Delivered,UPI,172557.59,0.0,0.0,31060.37,203617.96,Kochi,Kerala,No Coupon,No,No,No,369,0.0,203248.96
50,3529,2025-12-08,Delivered,COD,29857.44,402.62,0.0,5301.87,34756.69,Kochi,Kerala,PAYTM50,No,No,No,477,0.0,34279.69
51,7132,2025-10-21,Delivered,UPI,126747.72,0.0,0.0,22814.59,149562.31,Jaipur,Rajasthan,No Coupon,No,No,No,30,0.0,149532.31
52,7928,2026-01-20,Delivered,Credit Card,46736.75,4084.38,0.0,7677.43,50329.8,Kochi,Kerala,BIGBASH,No,No,No,368,0.0,49961.8
53,459,2024-08-14,Failed,UPI,106362.01,0.0,0.0,19145.16,125507.17,Patna,Bihar,No Coupon,Yes,No,Yes,317,125507.17,125190.17
54,8097,2026-07-14,Delivered,UPI,72517.13,1907.25,0.0,12709.78,83319.66,Jaipur,Rajasthan,SAVE10,No,No,No,306,0.0,83013.66
55,5459,2025-11-21,Delivered,Credit Card,3802.67,558.31,0.0,583.98,3828.34,Indore,Madhya Pradesh,FESTIVE20,No,No,No,70,0.0,3758.34
56,8305,2025-10-05,Returned,COD,1326.94,83.72,0.0,223.78,1467.0,Delhi,Delhi,WELCOME100,No,Yes,Yes,137,137.0,1330.0
57,7933,2024-11-29,Delivered,UPI,2570.7,0.0,0.0,462.73,3033.43,Chennai,Tamil Nadu,No Coupon,No,No,No,163,0.0,2870.43
58,6940,2025-09-05,Cancelled,Debit Card,124304.65,0.0,0.0,22374.84,146679.49,Indore,Madhya Pradesh,No Coupon,No,No,No,17,0.0,146662.49
59,6940,2025-09-26,Delivered,UPI,59992.1,0.0,0.0,10798.58,70790.68,Indore,Madhya Pradesh,No Coupon,No,No,No,237,0.0,70553.68
60,1220,2025-06-02,Delivered,Debit Card,3953.04,0.0,0.0,711.55,4664.59,Ahmedabad,Gujarat,No Coupon,No,No,No,116,0.0,4548.59
61,7677,2025-07-02,Delivered,UPI,2813.36,216.56,0.0,467.42,3064.22,Pune,Maharashtra,BIGBASH,No,No,No,497,0.0,2567.22
62,3133,2025-04-27,Delivered,UPI,22894.15,2294.23,0.0,3707.99,24307.91,Pune,Maharashtra,PAYTM50,No,No,No,11,0.0,24296.91
63,3133,2025-05-15,Delivered,Net Banking,4383.39,227.83,0.0,748.0,4903.56,Pune,Maharashtra,FESTIVE20,No,No,No,67,0.0,4836.56
64,5951,2025-11-02,Delivered,Wallet,332893.72,24232.9,0.0,55558.95,364219.77,Bengaluru,Karnataka,WELCOME100,No,No,No,498,0.0,363721.77
65,1064,2026-06-30,Delivered,UPI,5886.45,26.82,0.0,1054.73,6914.36,Chennai,Tamil Nadu,FESTIVE20,No,No,No,350,0.0,6564.36
66,1064,2026-08-07,Failed,Net Banking,2877.25,0.0,0.0,517.9,3395.15,Chennai,Tamil Nadu,No Coupon,Yes,No,Yes,153,3395.15,3242.15
67,3656,2024-12-03,Delivered,Debit Card,2642.32,0.0,0.0,475.62,3117.94,Ahmedabad,Gujarat,No Coupon,No,No,No,201,0.0,2916.94
68,1082,2024-11-26,Delivered,UPI,5922.32,457.94,0.0,983.59,6447.97,Ahmedabad,Gujarat,PAYTM50,No,No,No,93,0.0,6354.97
69,1082,2024-12-19,Delivered,Credit Card,5999.42,70.39,0.0,1067.23,6996.26,Ahmedabad,Gujarat,SAVE10,No,No,No,134,0.0,6862.26
70,10488,2024-10-29,Delivered,Wallet,4243.04,0.0,0.0,763.75,5006.79,Kolkata,West Bengal,No Coupon,No,No,No,152,0.0,4854.79
71,7602,2025-08-12,Delivered,UPI,5309.12,682.36,0.0,832.82,5459.58,Patna,Bihar,WELCOME100,No,No,No,140,0.0,5319.58
72,602,2025-11-15,Delivered,Net Banking,3182.48,77.52,0.0,558.89,3663.85,Hyderabad,Telangana,BIGBASH,No,No,No,258,0.0,3405.85
73,7713,2026-06-08,Delivered,Credit Card,96292.57,0.0,0.0,17332.66,113625.23,Mumbai,Maharashtra,No Coupon,No,No,No,144,0.0,113481.23
74,7713,2026-07-18,Cancelled,UPI,41417.49,1956.43,0.0,7102.99,46564.05,Mumbai,Maharashtra,PAYTM50,No,No,No,286,0.0,46278.05
75,6190,2025-12-24,Failed,UPI,2427.87,0.0,0.0,437.02,2864.89,Delhi,Delhi,No Coupon,Yes,No,Yes,488,2864.89,2376.89
76,8397,2026-03-27,Delivered,Credit Card,3736.99,0.0,0.0,672.66,4409.65,Ahmedabad,Gujarat,No Coupon,No,No,No,58,0.0,4351.65
77,8397,2026-05-07,Delivered,UPI,174457.38,12956.46,0.0,29070.17,190571.09,Ahmedabad,Gujarat,FESTIVE20,No,No,No,286,0.0,190285.09
78,5800,2025-06-09,Returned,Credit Card,4253.89,334.96,0.0,705.41,4624.34,Jaipur,Rajasthan,FESTIVE20,No,Yes,Yes,14,14.0,4610.34
79,6951,2026-07-07,Delivered,Credit Card,2397.68,123.16,0.0,409.41,2683.93,Delhi,Delhi,FESTIVE20,No,No,No,461,0.0,2222.93
80,6951,2026-07-22,Delivered,UPI,2765.23,301.39,0.0,443.49,2907.33,Delhi,Delhi,WELCOME100,No,No,No,86,0.0,2821.33
81,7223,2026-07-24,Delivered,Debit Card,5092.96,0.0,0.0,916.73,6009.69,Kochi,Kerala,No Coupon,No,No,No,339,0.0,5670.69
82,10060,2025-06-19,Delivered,UPI,58790.28,0.0,0.0,10582.25,69372.53,Lucknow,Uttar Pradesh,No Coupon,No,No,No,449,0.0,68923.53
83,9141,2025-06-15,Cancelled,Net Banking,2376.18,0.0,0.0,427.71,2803.89,Pune,Maharashtra,No Coupon,No,No,No,47,0.0,2756.89
84,9141,2025-07-20,Cancelled,Credit Card,4634.6,0.0,0.0,834.23,5468.83,Pune,Maharashtra,No Coupon,No,No,No,402,0.0,5066.83
85,4690,2026-05-06,Delivered,Wallet,5523.77,376.18,0.0,926.57,6074.16,Jaipur,Rajasthan,WELCOME100,No,No,No,293,0.0,5781.16
86,4690,2026-06-13,Cancelled,Net Banking,148237.22,16472.37,0.0,23717.67,155482.52,Jaipur,Rajasthan,WELCOME100,No,No,No,122,0.0,155360.52
87,5458,2024-12-01,Cancelled,UPI,2091.51,188.8,0.0,342.49,2245.2,Lucknow,Uttar Pradesh,FESTIVE20,No,No,No,175,0.0,2070.2
88,4566,2024-09-10,Returned,UPI,9210.46,996.41,0.0,1478.53,9692.58,Patna,Bihar,SAVE10,No,Yes,Yes,318,318.0,9374.58
89,8322,2026-01-31,Delivered,UPI,9347.84,507.19,0.0,1591.32,10431.97,Pune,Maharashtra,SAVE10,No,No,No,321,0.0,10110.97
90,8322,2026-02-23,Delivered,UPI,90813.43,0.0,0.0,16346.42,107159.85,Pune,Maharashtra,No Coupon,No,No,No,30,0.0,107129.85
91,10415,2025-03-10,Delivered,UPI,1113.35,57.08,0.0,190.13,1246.4,Indore,Madhya Pradesh,WELCOME100,No,No,No,14,0.0,1232.4
92,10415,2025-04-07,Delivered,Net Banking,3113.13,0.0,0.0,560.36,3673.49,Indore,Madhya Pradesh,No Coupon,No,No,No,64,0.0,3609.49
93,9233,2025-09-26,Delivered,COD,35628.09,48.96,0.0,6404.24,41983.37,Delhi,Delhi,BIGBASH,No,No,No,19,0.0,41964.37
94,4229,2026-03-29,Cancelled,UPI,86872.32,5049.12,0.0,14728.18,96551.38,Chennai,Tamil Nadu,SAVE10,No,No,No,300,0.0,96251.38
95,4229,2026-05-08,Returned,UPI,1861.04,35.42,0.0,328.61,2154.23,Chennai,Tamil Nadu,PAYTM50,No,Yes,Yes,107,107.0,2047.23
96,3689,2025-08-04,Delivered,Wallet,124756.94,7943.9,0.0,21026.35,137839.39,Pune,Maharashtra,FESTIVE20,No,No,No,92,0.0,137747.39
97,9642,2025-01-10,Delivered,Credit Card,14773.67,1779.48,0.0,2338.95,15333.14,Patna,Bihar,SAVE10,No,No,No,30,0.0,15303.14
98,5277,2026-02-02,Delivered,UPI,3282.57,28.37,0.0,585.76,3839.96,Kochi,Kerala,PAYTM50,No,No,No,141,0.0,3698.96
99,942,2025-06-09,Delivered,UPI,5579.12,172.7,0.0,973.16,6379.58,Kolkata,West Bengal,SAVE10,No,No,No,126,0.0,6253.58
100,942,2025-07-15,Delivered,UPI,5914.24,0.0,0.0,1064.56,6978.8,Kolkata,West Bengal,No Coupon,No,No,No,46,0.0,6932.8
101,513,2025-08-18,Cancelled,UPI,356.88,4.25,50.0,63.47,466.1,Hyderabad,Telangana,WELCOME100,No,No,No,208,0.0,258.1
102,2909,2024-11-30,Returned,UPI,7167.04,706.48,0.0,1162.9,7623.46,Delhi,Delhi,FESTIVE20,No,Yes,Yes,299,299.0,7324.46
103,2909,2025-01-09,Delivered,UPI,55280.49,0.0,0.0,9950.49,65230.98,Delhi,Delhi,No Coupon,No,No,No,127,0.0,65103.98
104,6846,2026-03-14,Returned,Debit Card,72149.86,7643.83,0.0,11611.09,76117.12,Ahmedabad,Gujarat,FESTIVE20,No,Yes,Yes,288,288.0,75829.12
105,6846,2026-04-10,Delivered,UPI,1641.29,0.0,0.0,295.43,1936.72,Ahmedabad,Gujarat,No Coupon,No,No,No,372,0.0,1564.72
106,413,2024-12-08,Delivered,UPI,125081.42,0.0,0.0,22514.66,147596.08,Kolkata,West Bengal,No Coupon,No,No,No,308,0.0,147288.08
107,6110,2026-05-20,Delivered,Debit Card,97548.47,6479.43,0.0,16392.43,107461.47,Mumbai,Maharashtra,BIGBASH,No,No,No,280,0.0,107181.47
108,3007,2025-12-19,Delivered,UPI,4144.31,269.81,0.0,697.41,4571.91,Hyderabad,Telangana,FESTIVE20,No,No,No,156,0.0,4415.91
109,1277,2025-07-25,Delivered,UPI,7664.54,125.1,0.0,1357.1,8896.54,Lucknow,Uttar Pradesh,FESTIVE20,No,No,No,106,0.0,8790.54
110,2451,2026-06-03,Delivered,UPI,38118.15,0.0,0.0,6861.27,44979.42,Kochi,Kerala,No Coupon,No,No,No,304,0.0,44675.42
111,6091,2025-10-13,Delivered,UPI,226821.12,0.0,0.0,40827.8,267648.92,Kochi,Kerala,No Coupon,No,No,No,350,0.0,267298.92
112,7113,2026-06-29,Cancelled,COD,2548.46,244.34,0.0,414.74,2718.86,Ahmedabad,Gujarat,WELCOME100,No,No,No,51,0.0,2667.86
113,7113,2026-08-13,Delivered,UPI,15193.29,996.3,0.0,2555.46,16752.45,Ahmedabad,Gujarat,PAYTM50,No,No,No,416,0.0,16336.45
114,5941,2024-10-14,Failed,Wallet,3736.97,519.97,0.0,579.06,3796.06,Hyderabad,Telangana,FESTIVE20,Yes,No,Yes,437,3796.06,3359.06
115,4400,2025-12-18,Failed,Net Banking,150844.64,0.0,0.0,27152.04,177996.68,Mumbai,Maharashtra,No Coupon,Yes,No,Yes,421,177996.68,177575.68
116,4400,2026-01-02,Delivered,Credit Card,40728.19,0.0,0.0,7331.07,48059.26,Mumbai,Maharashtra,No Coupon,No,No,No,55,0.0,48004.26
117,7231,2025-09-05,Cancelled,Credit Card,3059.86,296.46,0.0,497.41,3260.81,Jaipur,Rajasthan,PAYTM50,No,No,No,354,0.0,2906.81
118,7231,2025-10-07,Failed,Credit Card,269495.83,14443.67,0.0,45909.39,300961.55,Jaipur,Rajasthan,BIGBASH,Yes,No,Yes,308,300961.55,300653.55
119,840,2025-12-07,Delivered,Credit Card,148976.59,16898.1,0.0,23774.13,155852.62,Mumbai,Maharashtra,WELCOME100,No,No,No,436,0.0,155416.62
120,840,2025-12-30,Delivered,Net Banking,278.67,31.84,50.0,44.43,341.26,Mumbai,Maharashtra,SAVE10,No,No,No,88,0.0,253.26
121,787,2026-03-05,Delivered,Credit Card,645.5,47.82,50.0,107.58,755.26,Hyderabad,Telangana,SAVE10,No,No,No,231,0.0,524.26
122,787,2026-04-16,Delivered,COD,113637.16,0.0,0.0,20454.69,134091.85,Hyderabad,Telangana,No Coupon,No,No,No,337,0.0,133754.85
123,6197,2024-08-20,Delivered,Wallet,124999.97,16751.8,0.0,19484.67,127732.84,Kolkata,West Bengal,WELCOME100,No,No,No,195,0.0,127537.84
124,7828,2026-03-25,Cancelled,Debit Card,12905.61,382.96,0.0,2254.08,14776.73,Bengaluru,Karnataka,WELCOME100,No,No,No,280,0.0,14496.73
125,7828,2026-04-21,Delivered,UPI,68329.29,0.0,0.0,12299.27,80628.56,Bengaluru,Karnataka,No Coupon,No,No,No,215,0.0,80413.56
126,6807,2025-07-08,Delivered,UPI,2489.72,0.79,0.0,448.01,2936.94,Patna,Bihar,PAYTM50,No,No,No,25,0.0,2911.94
127,6807,2025-08-07,Delivered,COD,46739.78,5264.98,0.0,7465.46,48940.26,Patna,Bihar,PAYTM50,No,No,No,24,0.0,48916.26
128,411,2025-05-02,Delivered,Net Banking,170966.64,4248.98,0.0,30009.18,196726.84,Jaipur,Rajasthan,FESTIVE20,No,No,No,85,0.0,196641.84
129,10163,2025-01-10,Delivered,Net Banking,1546.51,0.0,0.0,278.37,1824.88,Pune,Maharashtra,No Coupon,No,No,No,47,0.0,1777.88
130,10163,2025-01-29,Delivered,Debit Card,60801.41,1929.38,0.0,10596.97,69469.0,Pune,Maharashtra,BIGBASH,No,No,No,143,0.0,69326.0
131,1982,2024-11-23,Delivered,UPI,29823.32,3977.56,0.0,4652.24,30498.0,Pune,Maharashtra,WELCOME100,No,No,No,431,0.0,30067.0
132,1982,2024-12-28,Delivered,Credit Card,33473.5,3731.87,0.0,5353.49,35095.12,Pune,Maharashtra,BIGBASH,No,No,No,343,0.0,34752.12
133,10173,2024-08-23,Failed,Credit Card,3623.0,387.62,0.0,582.37,3817.75,Hyderabad,Telangana,BIGBASH,Yes,No,Yes,471,3817.75,3346.75
134,8351,2026-04-12,Delivered,UPI,282236.71,0.0,0.0,50802.61,333039.32,Indore,Madhya Pradesh,No Coupon,No,No,No,262,0.0,332777.32
135,8351,2026-04-27,Delivered,Credit Card,75380.11,6602.25,0.0,12380.01,81157.87,Indore,Madhya Pradesh,SAVE10,No,No,No,10,0.0,81147.87
136,8333,2025-02-12,Delivered,UPI,28151.71,0.0,0.0,5067.31,33219.02,Bengaluru,Karnataka,No Coupon,No,No,No,20,0.0,33199.02
137,8333,2025-03-29,Delivered,Credit Card,127756.43,3817.85,0.0,22308.94,146247.52,Bengaluru,Karnataka,SAVE10,No,No,No,431,0.0,145816.52
138,9940,2026-01-20,Delivered,UPI,228960.28,0.0,0.0,41212.85,270173.13,Bengaluru,Karnataka,No Coupon,No,No,No,446,0.0,269727.13
139,8282,2024-09-14,Delivered,Credit Card,999.48,119.85,50.0,158.33,1087.96,Patna,Bihar,BIGBASH,No,No,No,130,0.0,957.96
140,7964,2025-10-18,Delivered,UPI,8072.9,0.0,0.0,1453.12,9526.02,Pune,Maharashtra,No Coupon,No,No,No,11,0.0,9515.02
141,7964,2025-11-12,Delivered,Credit Card,979.8,34.57,50.0,170.14,1165.37,Pune,Maharashtra,FESTIVE20,No,No,No,168,0.0,997.37
142,10344,2025-12-26,Cancelled,UPI,129577.13,0.0,0.0,23323.88,152901.01,Kolkata,West Bengal,No Coupon,No,No,No,349,0.0,152552.01
143,10344,2026-01-16,Delivered,UPI,3542.11,324.8,0.0,579.12,3796.43,Kolkata,West Bengal,WELCOME100,No,No,No,92,0.0,3704.43
144,1683,2025-02-13,Returned,UPI,115656.82,11275.69,0.0,18788.6,123169.73,Ahmedabad,Gujarat,BIGBASH,No,Yes,Yes,193,193.0,122976.73
145,4975,2025-09-28,Delivered,UPI,45505.61,5960.64,0.0,7118.09,46663.06,Lucknow,Uttar Pradesh,WELCOME100,No,No,No,143,0.0,46520.06
146,9986,2025-07-24,Delivered,Credit Card,86983.02,5625.76,0.0,14644.31,96001.57,Jaipur,Rajasthan,PAYTM50,No,No,No,226,0.0,95775.57
147,9986,2025-08-20,Delivered,Debit Card,44898.72,0.0,0.0,8081.77,52980.49,Jaipur,Rajasthan,No Coupon,No,No,No,457,0.0,52523.49
148,2931,2025-06-24,Delivered,UPI,121884.72,12614.06,0.0,19668.72,128939.38,Mumbai,Maharashtra,BIGBASH,No,No,No,422,0.0,128517.38
149,2931,2025-07-20,Delivered,Credit Card,72644.4,6705.37,0.0,11869.03,77808.06,Mumbai,Maharashtra,SAVE10,No,No,No,199,0.0,77609.06
150,3086,2026-06-21,Returned,UPI,284.52,19.13,50.0,47.77,363.16,Pune,Maharashtra,WELCOME100,No,Yes,Yes,140,140.0,223.16000000000005
151,3086,2026-08-02,Returned,Credit Card,493603.94,0.0,0.0,88848.71,582452.65,Pune,Maharashtra,No Coupon,No,Yes,Yes,475,475.0,581977.65
152,8057,2025-05-05,Delivered,Net Banking,1621.97,160.41,0.0,263.08,1724.64,Ahmedabad,Gujarat,PAYTM50,No,No,No,451,0.0,1273.64
153,6098,2025-05-18,Delivered,UPI,4465.66,0.0,0.0,803.82,5269.48,Hyderabad,Telangana,No Coupon,No,No,No,5,0.0,5264.48
154,6098,2025-06-02,Delivered,Debit Card,197504.57,14331.48,0.0,32971.16,216144.25,Hyderabad,Telangana,PAYTM50,No,No,No,7,0.0,216137.25
155,2606,2026-01-03,Delivered,Credit Card,12173.76,0.0,0.0,2191.28,14365.04,Kochi,Kerala,No Coupon,No,No,No,301,0.0,14064.04
156,8257,2025-02-01,Cancelled,Credit Card,193871.87,22533.3,0.0,30840.94,202179.51,Ahmedabad,Gujarat,FESTIVE20,No,No,No,22,0.0,202157.51
157,8257,2025-03-17,Delivered,Credit Card,33143.66,659.2,0.0,5847.2,38331.66,Ahmedabad,Gujarat,BIGBASH,No,No,No,32,0.0,38299.66
158,8011,2025-02-05,Delivered,UPI,117271.13,10505.22,0.0,19217.86,125983.77,Kochi,Kerala,SAVE10,No,No,No,243,0.0,125740.77
159,4055,2024-08-13,Delivered,UPI,200442.59,8844.3,0.0,34487.69,226085.98,Pune,Maharashtra,SAVE10,No,No,No,469,0.0,225616.98
160,4055,2024-09-18,Delivered,UPI,2127.83,0.0,0.0,383.01,2510.84,Pune,Maharashtra,No Coupon,No,No,No,100,0.0,2410.84
161,1112,2024-10-06,Delivered,Credit Card,420.62,35.03,50.0,69.41,505.0,Bengaluru,Karnataka,FESTIVE20,No,No,No,217,0.0,288.0
162,1112,2024-11-02,Returned,Credit Card,4026.3,586.2,0.0,619.22,4059.32,Bengaluru,Karnataka,FESTIVE20,No,Yes,Yes,124,124.0,3935.32
163,3403,2025-01-25,Returned,Credit Card,211289.32,0.0,0.0,38032.08,249321.4,Ahmedabad,Gujarat,No Coupon,No,Yes,Yes,435,435.0,248886.4
164,4133,2025-01-14,Delivered,UPI,28152.68,567.68,0.0,4965.3,32550.3,Kochi,Kerala,SAVE10,No,No,No,456,0.0,32094.3
165,5785,2026-01-26,Delivered,Wallet,2441.02,244.09,0.0,395.45,2592.38,Lucknow,Uttar Pradesh,FESTIVE20,No,No,No,363,0.0,2229.38
166,5440,2025-12-16,Delivered,UPI,3481.03,0.0,0.0,626.59,4107.62,Indore,Madhya Pradesh,No Coupon,No,No,No,126,0.0,3981.62
167,8527,2025-10-08,Returned,UPI,4329.9,477.92,0.0,693.36,4545.34,Pune,Maharashtra,SAVE10,No,Yes,Yes,405,405.0,4140.34
168,8527,2025-10-28,Returned,Debit Card,112454.7,1578.82,0.0,19957.66,130833.54,Pune,Maharashtra,WELCOME100,No,Yes,Yes,494,494.0,130339.54
169,2768,2025-05-20,Cancelled,Net Banking,26074.89,1318.54,0.0,4456.14,29212.49,Bengaluru,Karnataka,PAYTM50,No,No,No,3,0.0,29209.49
