return_refund_id,order_id,order_item_id,return_type,return_request_date,return_reason,returned_quantity,product_condition,refund_status,refund_request_date,refund_processed_date,refund_amount,reverse_logistics_cost,restocking_cost,refund_delay_days,is_full_refund
127,144,234,Late Delivery,2025-02-18,Customer Refused,1,Sellable,Processed,2025-02-18,2025-02-21,28347.5,136.65,25.68,3,Yes
128,144,235,Quality Issue,2025-02-19,Customer Refused,1,Damaged,Processed,2025-02-19,2025-02-22,75098.38,112.54,15.48,6,Yes
129,146,238,Wrong Item,2025-07-31,Damaged Product,1,Sellable,Processed,2025-07-31,2025-08-03,81357.26,162.33,22.12,1,Yes
130,147,239,Quality Issue,2025-08-25,Customer Refused,1,Damaged,Processed,2025-08-25,2025-08-26,44898.72,120.2,30.71,6,Yes
131,148,240,Late Delivery,2025-06-30,Customer Refused,1,Sellable,Processed,2025-06-30,2025-07-02,109270.66,84.26,21.49,7,Yes
132,150,246,Quality Issue,2026-06-29,Changed Mind,1,Defective,Processed,2026-06-29,2026-07-01,265.39,69.73,30.25,1,Yes
133,153,251,Late Delivery,2025-05-26,Late Delivery,1,Opened,Processed,2025-05-26,2025-05-29,2414.47,68.42,24.75,1,Yes
134,153,252,Quality Issue,2025-05-26,Late Delivery,1,Damaged,Pending,2025-05-26,2025-05-28,2051.19,121.4,30.3,2,Yes
135,154,254,Wrong Item,2025-06-14,Damaged Product,1,Sellable,Pending,2025-06-14,,35503.25,152.1,20.42,1,Yes
136,155,255,Quality Issue,2026-01-07,Late Delivery,2,Sellable,Processed,2026-01-07,2026-01-10,12173.76,92.58,24.32,3,Yes
137,156,260,Wrong Item,2025-02-08,Damaged Product,1,Opened,Pending,2025-02-08,2025-02-10,1059.15,120.56,16.12,1,Yes
138,157,261,Quality Issue,2025-03-25,Size/Fit Issue,1,Sellable,Processed,2025-03-25,2025-03-27,2707.59,61.96,42.5,2,Yes
139,159,267,Late Delivery,2024-08-22,Product Quality,1,Sellable,Pending,2024-08-22,2024-08-24,59188.38,109.52,27.99,4,Yes
140,162,272,Quality Issue,2024-11-07,Late Delivery,2,Damaged,Processed,2024-11-07,2024-11-08,3440.1,127.13,32.62,2,Yes
141,163,273,Quality Issue,2025-01-29,Late Delivery,1,Damaged,Processed,2025-01-30,2025-02-01,143987.71,134.18,36.6,3,Yes
142,163,274,Wrong Item,2025-02-02,Late Delivery,1,Damaged,Processed,2025-02-03,2025-02-05,67301.61,117.59,31.22,2,Yes
143,166,277,Late Delivery,2025-12-21,Late Delivery,1,Damaged,Processed,2025-12-21,2025-12-23,3481.03,64.64,28.37,1,Yes
144,167,278,Wrong Item,2025-10-15,Customer Refused,2,Sellable,Processed,2025-10-15,2025-10-16,3851.98,126.5,10.58,8,Yes
145,168,279,Quality Issue,2025-11-03,Late Delivery,2,Opened,Failed,2025-11-03,2025-11-04,110875.88,129.03,20.79,1,Yes
146,169,280,Wrong Item,2025-05-28,Customer Refused,1,Sellable,Processed,2025-05-28,2025-05-29,24756.35,134.71,38.91,1,Yes
147,172,284,Late Delivery,2026-06-23,Customer Refused,1,Opened,Processed,2026-06-23,2026-06-25,3012.81,54.03,34.6,3,Yes
148,174,289,Wrong Item,2024-12-02,Customer Refused,1,Opened,Processed,2024-12-02,2024-12-03,151723.77,138.05,37.99,7,Yes
149,178,293,Wrong Item,2026-02-25,Late Delivery,2,Damaged,Processed,2026-02-25,2026-02-28,4524.35,125.4,36.69,5,Yes
150,180,295,Quality Issue,2025-11-26,Late Delivery,1,Opened,Processed,2025-11-26,2025-11-27,637.14,80.15,14.65,6,Yes
151,180,296,Late Delivery,2025-11-23,Late Delivery,1,Sellable,Processed,2025-11-23,2025-11-25,81511.72,137.01,31.24,1,Yes
152,181,297,Quality Issue,2026-04-18,Customer Refused,1,Opened,Processed,2026-04-18,2026-04-20,21586.51,93.14,35.71,4,Yes
153,182,298,Late Delivery,2025-06-03,Late Delivery,2,Opened,Pending,2025-06-03,2025-06-05,4005.6,105.36,21.92,9,Yes
154,182,299,Late Delivery,2025-06-02,Late Delivery,1,Sellable,Processed,2025-06-02,2025-06-04,835.31,100.02,38.23,3,Yes
155,183,300,Wrong Item,2025-07-01,Late Delivery,2,Damaged,Processed,2025-07-01,2025-07-04,3901.38,84.47,13.29,9,Yes
156,185,302,Quality Issue,2026-04-26,Damaged Product,1,Defective,Processed,2026-04-26,2026-04-30,1846.05,106.59,25.56,6,Yes
157,187,304,Wrong Item,2024-12-20,Late Delivery,1,Damaged,Processed,2024-12-20,2024-12-21,19794.71,73.61,35.43,8,Yes
158,187,305,Late Delivery,2024-12-18,Late Delivery,1,Damaged,Processed,2024-12-18,2024-12-19,82889.99,78.93,27.3,7,Yes
159,188,306,Late Delivery,2026-06-14,Customer Refused,1,Opened,Processed,2026-06-14,2026-06-17,36036.54,62.28,32.41,8,Yes
160,188,307,Wrong Item,2026-06-15,Customer Refused,2,Sellable,Processed,2026-06-15,2026-06-17,230535.33,87.37,37.36,5,Yes
161,188,308,Wrong Item,2026-06-12,Customer Refused,1,Damaged,Processed,2026-06-12,2026-06-13,42699.05,71.99,31.78,3,Yes
162,188,309,Quality Issue,2026-06-14,Customer Refused,1,Opened,Processed,2026-06-14,2026-06-17,6151.32,88.85,37.5,5,Yes
163,188,310,Wrong Item,2026-06-12,Customer Refused,2,Damaged,Pending,2026-06-12,2026-06-13,418.38,135.76,15.3,7,Yes
164,189,311,Late Delivery,2026-07-04,Customer Refused,1,Opened,Processed,2026-07-04,2026-07-07,2201.97,148.86,24.94,1,Yes
165,192,314,Wrong Item,2026-04-05,Customer Refused,2,Opened,Processed,2026-04-05,2026-04-06,4112.06,56.91,38.53,6,Yes
166,192,315,Wrong Item,2026-04-03,Customer Refused,1,Sellable,Pending,2026-04-03,2026-04-05,68245.35,83.21,31.59,3,Yes
167,192,316,Late Delivery,2026-04-05,Customer Refused,2,Sellable,Processed,2026-04-05,2026-04-08,5530.46,80.22,16.52,5,Yes
168,192,317,Late Delivery,2026-04-04,Customer Refused,1,Opened,Pending,2026-04-04,2026-04-05,1115.97,87.74,34.69,2,Yes
169,192,318,Quality Issue,2026-04-05,Customer Refused,1,Opened,Pending,2026-04-05,2026-04-08,2865.1,147.69,38.81,6,Yes
170,193,319,Quality Issue,2025-01-31,Customer Refused,2,Damaged,Processed,2025-01-31,2025-02-02,5812.25,75.82,23.33,1,Yes
171,193,320,Quality Issue,2025-01-31,Customer Refused,1,Opened,Processed,2025-01-31,2025-02-01,4678.84,88.15,28.41,2,Yes
172,197,329,Quality Issue,2024-09-06,Late Delivery,2,Sellable,Processed,2024-09-06,2024-09-08,80804.88,143.32,38.05,5,Yes
173,200,333,Quality Issue,2026-03-12,Customer Refused,1,Opened,Processed,2026-03-12,2026-03-15,2926.02,100.13,36.41,2,Yes
174,200,334,Late Delivery,2026-03-09,Customer Refused,1,Sellable,Processed,2026-03-09,2026-03-10,2127.33,56.79,18.1,5,Yes
175,200,335,Wrong Item,2026-03-08,Customer Refused,1,Sellable,Processed,2026-03-08,2026-03-10,39621.43,81.31,16.94,8,Yes
176,202,337,Quality Issue,2025-02-16,Damaged Product,1,Damaged,Processed,2025-02-16,2025-02-17,53481.06,156.88,16.11,5,Yes
177,204,340,Wrong Item,2025-08-29,Customer Refused,1,Opened,Processed,2025-08-29,2025-09-01,2317.3,99.49,33.92,7,Yes
178,204,341,Quality Issue,2025-08-27,Customer Refused,3,Opened,Processed,2025-08-27,2025-08-30,43748.31,80.35,12.05,9,Yes
179,206,344,Quality Issue,2025-08-06,Customer Refused,1,Sellable,Processed,2025-08-06,2025-08-08,86438.74,63.16,13.75,2,Yes
180,207,345,Wrong Item,2025-02-17,Customer Refused,1,Sellable,Processed,2025-02-17,2025-02-18,6557.76,92.33,33.01,4,Yes
181,207,346,Late Delivery,2025-02-19,Customer Refused,1,Damaged,Processed,2025-02-19,2025-02-20,55531.46,146.63,13.82,7,Yes
182,210,350,Late Delivery,2025-08-31,Customer Refused,1,Sellable,Processed,2025-08-31,2025-09-01,41152.71,126.01,14.33,2,Yes
183,215,361,Late Delivery,2025-01-15,Late Delivery,1,Damaged,Processed,2025-01-16,2025-01-19,3440.64,66.38,13.25,1,Yes
184,218,370,Late Delivery,2025-08-05,Customer Refused,2,Sellable,Processed,2025-08-05,2025-08-07,2876.14,53.98,19.02,3,Yes
185,219,371,Late Delivery,2024-09-16,Customer Refused,1,Opened,Processed,2024-09-16,2024-09-17,4814.38,75.26,38.35,7,Yes
186,219,372,Quality Issue,2024-09-15,Customer Refused,1,Sellable,Processed,2024-09-15,2024-09-18,673.12,55.54,20.82,3,Yes
187,219,373,Quality Issue,2024-09-17,Customer Refused,1,Opened,Pending,2024-09-17,2024-09-19,4990.11,113.32,14.86,2,Yes
188,227,384,Wrong Item,2025-04-22,Late Delivery,1,Opened,Processed,2025-04-22,2025-04-25,1891.68,101.5,27.87,8,Yes
189,228,385,Wrong Item,2024-10-30,Late Delivery,1,Damaged,Failed,2024-10-30,2024-11-02,26433.7,90.73,26.07,1,Yes
190,228,386,Quality Issue,2024-10-31,Late Delivery,3,Opened,Processed,2024-10-31,2024-11-03,107886.34,131.9,12.24,3,Yes
191,229,387,Quality Issue,2025-08-09,Late Delivery,1,Damaged,Processed,2025-08-09,2025-08-11,3802.67,108.18,16.65,6,Yes
192,229,388,Quality Issue,2025-08-07,Late Delivery,1,Opened,Processed,2025-08-07,2025-08-10,2327.69,108.0,14.42,9,Yes
193,230,389,Wrong Item,2026-06-20,Late Delivery,1,Sellable,Processed,2026-06-20,2026-06-21,998.46,59.01,24.75,5,Yes
194,231,390,Late Delivery,2025-03-20,Late Delivery,1,Damaged,Processed,2025-03-20,2025-03-23,3472.72,62.45,38.99,7,Yes
195,239,400,Quality Issue,2025-10-20,Customer Refused,1,Opened,Processed,2025-10-20,2025-10-21,2213.15,89.43,11.39,8,Yes
